epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3708,1.19379,5.12194,1.16588,0,0,0,0,0.82266,5.28446,1.04071,3.84e-06,3.84e-06,3.84e-06
2,24.2105,1.1376,5.12124,1.15697,0,0,0,0,0.7896,5.26809,1.02711,9.40992e-06,9.40992e-06,9.40992e-06
3,36.2361,1.13107,5.05555,1.11275,0,0,0,0,0.73635,5.24398,1.01867,1.47517e-05,1.47517e-05,1.47517e-05
4,48.6441,0.97619,4.99665,1.08245,0,0,0,0,0.70034,5.22037,1.01365,1.98655e-05,1.98655e-05,1.98655e-05
5,60.5986,0.87328,4.96011,1.05997,0,0,0,0,0.67519,5.19459,1.01637,2.47511e-05,2.47511e-05,2.47511e-05
6,72.3689,0.78091,4.89426,0.99304,0,0,0,0,0.6852,5.19244,1.01015,2.94086e-05,2.94086e-05,2.94086e-05
7,84.1769,0.78266,4.91938,0.99174,0,0,0,0,0.71598,5.17596,1.00699,3.38381e-05,3.38381e-05,3.38381e-05
8,95.7792,0.84099,4.82484,1.0276,0,0,0,0,0.73071,5.1591,1.00565,3.80394e-05,3.80394e-05,3.80394e-05
9,107.652,0.80565,4.77476,0.96224,0,0,0,0,0.74234,5.14879,1.00197,4.20127e-05,4.20127e-05,4.20127e-05
10,119.402,0.78355,4.71899,0.98785,0,0,0,0,0.74136,5.13484,0.99828,4.57578e-05,4.57578e-05,4.57578e-05
11,131.167,0.76769,4.59381,0.97764,0,0,0,0,0.74323,5.10719,1.0024,4.92749e-05,4.92749e-05,4.92749e-05
12,142.773,0.84009,4.63249,0.99628,0,0,0,0,0.74077,5.08769,1.00914,5.25638e-05,5.25638e-05,5.25638e-05
